asset,feature,horizon_days,n,pearson_r,spearman_r,naive_p,nw_p,nw_q
BTC,Velocity_Momentum,30,2307,-0.03699799348085825,-0.030162582394346705,0.1475358048118475,0.08833160423637305,0.30839450846274813
BTC,Log_Return,30,2313,0.022481891271441207,0.030609610337419844,0.1411080653407607,0.2804621426121573,0.5301042695526489
BTC,Tx_Intensity_lag_1d,30,2313,-0.03945958924213376,0.03565584971601978,0.08644823487166628,0.6198523767518678,0.7164622156589915
BTC,AdrActCnt_lag_1d,30,2313,0.0874461485507601,0.052805161647131116,0.011085476814868937,0.3289849491481881,0.5489643794871591
BTC,NVT_Tx_Basis_lag_1d,30,2286,-0.27227589161741317,-0.2812327122116991,8.059975284306387e-43,0.0013883555446681482,0.010382484942735718
BTC,Velocity_Momentum_lag_1d,30,2306,-0.027656394667971297,-0.01692230166053765,0.41665364246303066,0.20219287147314657,0.45212790066617486
BTC,Tx_Intensity_lag_3d,30,2311,-0.03981967946962553,0.035524746948971994,0.08774936735945733,0.6194433501653784,0.7164622156589915
BTC,AdrActCnt_lag_3d,30,2311,0.08706174567497164,0.05475237441889103,0.008472057418353602,0.33046999261949483,0.5489643794871591
BTC,NVT_Tx_Basis_lag_3d,30,2284,-0.27601847623997483,-0.2867129145054186,1.804677261196274e-44,0.001154933330378733,0.009797893212930456
BTC,Velocity_Momentum_lag_3d,30,2304,-0.02150053100550236,-0.0096340678353771,0.6439414658368362,0.3136909691986097,0.5467220913859736
BTC,Tx_Intensity_lag_7d,30,2307,-0.027759471194190227,0.04629437272366713,0.02617784836121169,0.7338186236248999,0.7987088565117757
BTC,AdrActCnt_lag_7d,30,2307,0.08526386063506454,0.0398843165283844,0.0554393374099178,0.35292160606736445,0.5506139987057588
BTC,NVT_Tx_Basis_lag_7d,30,2280,-0.2825737874902922,-0.2964104687251837,1.818731805624659e-47,0.0008195333133020245,0.009797893212930456
BTC,Velocity_Momentum_lag_7d,30,2300,-0.013780240747834903,-0.006481264642632421,0.7560554415652215,0.5223945462055446,0.6806959238435883
BTC,Tx_Intensity_lag_14d,30,2300,-0.02160466493804394,0.048076476910980256,0.021124788058901178,0.7924579432849455,0.8413751002778433
BTC,AdrActCnt_lag_14d,30,2300,0.08639622564027492,0.03420387417435334,0.10101592033447966,0.3585481484733103,0.5506139987057588
BTC,NVT_Tx_Basis_lag_14d,30,2273,-0.29405783652643197,-0.3103177098476154,6.271444051671833e-52,0.00042524649198849313,0.009797893212930456
BTC,Velocity_Momentum_lag_14d,30,2293,-0.024285076383205484,-0.014897373194358512,0.4758361873995191,0.26013420532900944,0.5142883139837888
BTC,Tx_Intensity_lag_30d,30,2284,-0.011208993593447198,0.06203779948024849,0.003016064873339501,0.888135746584287,0.9039014698964342
BTC,AdrActCnt_lag_30d,30,2284,0.061824277010571006,0.018432306925862334,0.37859128336087955,0.49632589362481916,0.6566773361805299
BTC,NVT_Tx_Basis_lag_30d,30,2257,-0.33920930796965126,-0.3406054296348867,2.0410902356379207e-62,4.635029798130217e-05,0.005332815799588859
BTC,Velocity_Momentum_lag_30d,30,2277,-0.0010819867970499443,0.01751004834673372,0.4036341995404646,0.959092038859146,0.9642119484051741
BTC,Price_Dist_lag_30d,30,2284,0.1419744861152741,0.11266716915599845,6.710669097523854e-08,0.05324977316103509,0.22897402459245086
BTC,Price_Dist_lag_90d,30,2224,0.18331399886366756,0.10717879883419831,4.0576109269687533e-07,0.03771587243372068,0.18019805718333215
BTC,Price_Dist_lag_182d,30,2132,0.04140162369756668,0.04945317735139228,0.022401606287683805,0.7195792012518112,0.7987088565117757
BTC,Price_vs_MA7,30,2308,0.07252104404066535,0.09081237618746955,1.2456356810010522e-05,0.06374032474075776,0.2610318060811984
BTC,Volatility_30d,30,2284,0.12585189397323815,0.03648493133523416,0.08128384769075331,0.10721738176987954,0.34110714613867826
BTC,ExchangeNetFlow,30,2314,0.0009580344164165969,-0.002890222921914489,0.8894844386680897,0.9642119484051741,0.9642119484051741
